place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes
184,Andrews Chapel,McMinn,,,16265.0,1304840.0,Andrews Creek,Cannon,Stream,75.0,FIRST_WORD,"First word match, different county"
184,Andrews Chapel,McMinn,,,16266.0,1304840.0,Andrews Creek,Rutherford,Stream,75.0,FIRST_WORD,"First word match, different county"
184,Andrews Chapel,McMinn,,,26790.0,1275747.0,Andrews Hollow,Stewart,Valley,75.0,FIRST_WORD,"First word match, different county"
185,Andrews (Stand),Maury,,,2335.0,1275749.0,Andrews Spring,Marshall,Spring,80.0,NAME_VARIATION,Name variation: andrews spring
185,Andrews (Stand),Maury,,,16265.0,1304840.0,Andrews Creek,Cannon,Stream,80.0,NAME_VARIATION,Name variation: andrews creek
185,Andrews (Stand),Maury,,,16266.0,1304840.0,Andrews Creek,Rutherford,Stream,80.0,NAME_VARIATION,Name variation: andrews creek
186,Andy,Perry,,1904.0,13585.0,1327461.0,Andy Creek,Pickett,Stream,80.0,NAME_VARIATION,Name variation: andy creek
186,Andy,Perry,,1904.0,7115.0,1275751.0,Andy Branch,Anderson,Stream,80.0,NAME_VARIATION,Name variation: andy branch
186,Andy,Perry,,1904.0,8197.0,1275750.0,Andy Branch,Johnson,Stream,80.0,NAME_VARIATION,Name variation: andy branch
192,Ann Boor,Maury,,1823.0,21263.0,1275761.0,Ann Homer,Perry,Ridge,75.0,FIRST_WORD,"First word match, different county"
192,Ann Boor,Maury,,1823.0,21264.0,1275761.0,Ann Homer,Wayne,Ridge,75.0,FIRST_WORD,"First word match, different county"
197,Ansonia,Franklin,,,29405.0,1275955.0,Asia,Franklin,Populated Place,77.72727272727273,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), same county"
226,Bald Hornet,Montgomery,,,20493.0,1276216.0,Bald Point,Franklin,Summit,75.0,FIRST_WORD,"First word match, different county"
226,Bald Hornet,Montgomery,,,29782.0,1314621.0,Bald Point,Grainger,Populated Place,75.0,FIRST_WORD,"First word match, different county"
226,Bald Hornet,Montgomery,,,0.0,1308776.0,Bald Island (historical),Stewart,Island,75.0,FIRST_WORD,"First word match, different county"
242,Bandy,Sumner,,1903.0,11663.0,1276260.0,Bandy Creek,Scott,Stream,80.0,NAME_VARIATION,Name variation: bandy creek
242,Bandy,Sumner,,1903.0,11664.0,1276260.0,Bandy Creek,Fentress,Stream,80.0,NAME_VARIATION,Name variation: bandy creek
246,Banner,Sevier,,1903.0,33745.0,1276268.0,Banner Springs,Fentress,Populated Place,80.0,NAME_VARIATION,Name variation: banner springs
246,Banner,Sevier,,1903.0,28473.0,1327499.0,Banner Hill,Unicoi,Populated Place,80.0,NAME_VARIATION,Name variation: banner hill
250,Baptist,Rhea,,1891.0,16997.0,1276271.0,Baptist Gap,Claiborne,Gap,80.0,NAME_VARIATION,Name variation: baptist gap
250,Baptist,Rhea,,1891.0,27482.0,1276273.0,Baptist Ridge,Clay,Ridge,80.0,NAME_VARIATION,Name variation: baptist ridge
250,Baptist,Rhea,,1891.0,32019.0,1314624.0,Baptist Ridge,Clay,Populated Place,80.0,NAME_VARIATION,Name variation: baptist ridge
