gaz_id,gaz_name,gaz_featureclass,fcode,state_alpha,county_name,LayerID,GlobalID,JoinID
1302599,Pool Six,Reservoir,43600,TN,Stewart,7,{afe14202-9a65-443c-b830-43964e358872},4085
1302601,Lake Number Seventeen,Reservoir,39009,TN,Macon,7,{af817298-79aa-42f4-987f-85534772e986},4086
1302602,White Lake,Reservoir,39004,TN,Obion,7,{87a16bac-e87d-4e79-9e15-1af1ef04d4c3},4087
1302606,Reelfoot Indian Creek Watershed Number Seven Reservoir,Reservoir,39009,TN,Obion,7,{52d25e86-60a2-4f3a-84d7-9ec687eff3da},4088
1302607,Lake Number Sixteen,Reservoir,39009,TN,Macon,7,{44ac2772-8eb9-4bff-aab8-e631af72c61e},4089
1302610,Lake Number Fifteen,Reservoir,39009,TN,Jackson,7,{6158a24d-cf80-406f-b125-cd87c9f2ef8a},4090
1302612,Lake Number Three,Reservoir,39004,TN,Jackson,7,{6e923771-1a12-4303-9178-e178e1663e86},4091
1302614,Cross Creek Reservoir,Reservoir,39004,TN,Stewart,7,{d5cf6a02-b2d3-4090-8af8-b6d608f85cbb},4092
1302615,Ponderosa Lake,Reservoir,39004,TN,Scott,7,{9f02b7c1-9b7b-4b34-8377-703279ebae96},4093
1302617,Wispering Winds Lake,Reservoir,39004,TN,Fentress,7,{1464169f-5686-4c73-91aa-9c0587ed4aae},4094
1302619,Waste Lagoon,Reservoir,39004,TN,Hawkins,7,{7ca47db8-61cf-426e-8216-56371b53d0c1},4095
1302624,Carter Lake,Reservoir,39004,TN,Scott,7,{ae106c19-2b12-42d8-90d2-fa5a074f9fab},4096
1302626,Newport Lake,Reservoir,39004,TN,Scott,7,{cbf97b98-e00c-4149-b32a-c24bda1e9594},4097
1302628,Harold Muzzall Lake,Reservoir,39009,TN,Weakley,7,{0cb22519-58f1-4055-9e35-99209f5dfa9e},4098
1302629,Lays Lake,Reservoir,39004,TN,Scott,7,{0f785ab2-915c-480d-a252-8e5d92db92c8},4099
1302634,Lake Number Thirteen,Reservoir,39009,TN,Jackson,7,{0d676a38-564c-4a2c-bb86-21df78c26fad},4100
1302636,Greenland Park Lake,Reservoir,39004,TN,Hawkins,7,{c3658e11-7f03-4c0f-9758-a9188b434bf4},4101
1302645,Pool Four,Reservoir,43600,TN,Stewart,7,{6908a7e5-ea6f-4630-bad2-8924826ed4a4},4102
1302647,Standing Stone Lake,Reservoir,43600,TN,Overton,7,{89538e1d-b761-4222-bf87-81ebdf2f8baf},4103
1302651,Bays Mountain Reservoir,Reservoir,39004,TN,Sullivan,7,{ed8b0f37-76d2-4981-94fe-533e62e6506a},4104
1302654,Lake Number Six,Reservoir,43600,TN,Jackson,7,{2f3291fe-df69-466c-b053-f968773cdec1},4105
1302657,Harper Lake,Reservoir,39004,TN,Robertson,7,{d2a16ad0-eb73-4208-883a-fdb8d0eef688},4106
1302658,Lake Number Five,Reservoir,39009,TN,Jackson,7,{83bea642-7fc2-4cc2-9c8f-b0613d2bffb5},4107
1302660,Consolidation Coal Water Supply Lake,Reservoir,43600,TN,Claiborne,7,{f91b6601-215e-4350-bf90-81c8ac5137e4},4108
1302662,Spruce Lick Slurry Refuse Impound,Reservoir,43600,TN,Claiborne,7,{3f88b6c0-40a2-48e3-8734-44087f9e584c},4109
1302664,Red Boiling Springs Lake Number One,Reservoir,39004,TN,Macon,7,{07ecdf6d-4b12-434f-8bcb-ed9b9535061a},4110
1302666,Red Boiling Springs Watershed Lake Number Two,Reservoir,43600,TN,Macon,7,{a72b0f4e-cdeb-4927-87d5-fee9955ed51b},4111
1302669,Camp Tom Howard Lake,Reservoir,43600,TN,Sullivan,7,{62915953-344a-43fa-9b49-c5bebb9582fa},4112
1302670,Phillip Bradshaw Lake,Reservoir,39004,TN,Sumner,7,{8464130e-de41-478b-87fe-8ca70f0f5193},4113
1302672,Arthur Lake,Reservoir,39004,TN,Claiborne,7,{890e462a-e775-4301-a59d-122283f6af44},4114
1302675,Pine Lake,Reservoir,43600,TN,Sumner,7,{b7f7daab-f819-476f-bb4e-b6d3caca5e62},4115
1302677,Lake Site Number Three,Reservoir,39009,TN,Montgomery,7,{cc979086-b9ca-4cf8-b9ab-9da4f8dbb644},4116
1302678,Bards Lake,Reservoir,39004,TN,Stewart,7,{06c2f155-4e17-4acb-9414-400b15875345},4117
1302680,Line Creek Lake Number Three B,Reservoir,39009,TN,Clay,7,{d968cd60-4678-44a3-a1f2-9d861e3f861a},4118
1302682,Larry Collins Lake,Reservoir,39004,TN,Sumner,7,{a44f8656-9fcf-4bbe-868d-578c3b5c935f},4119
1302684,Ronald King Lake,Reservoir,39004,TN,Scott,7,{48d7fbd1-5495-4bf9-8a9e-93b82907a5eb},4120
1302687,Akers Lake,Reservoir,43600,TN,Sumner,7,{7781a448-8198-4db6-ae79-c9d17d614f96},4121
1302689,Sumner Sportsman Club Lake,Reservoir,39009,TN,Sumner,7,{2300ba40-6066-4433-a7ac-87ece9debb79},4122
1302690,Portland City Lake,Reservoir,39009,TN,Sumner,7,{cdcaf1e7-b7f7-4563-ab3a-5406f78ca423},4123
1302692,Meadowbrook Game Farm Lake,Reservoir,39004,TN,Sumner,7,{e349bee5-6b1f-4b38-82ed-d9854fb7b5a7},4124
1302726,Courthouse Spring,Spring,45800,TN,Wayne,7,{438312a4-308e-40f7-8b6e-57b63fe6b40c},4125
1302944,Pilot Falls,Falls,48700,TN,Cumberland,7,{026e2afa-dfe3-494e-a647-b68d66d54594},4126
1302983,Big Spring,Spring,45800,TN,Lawrence,7,{f268c177-f973-4655-a3ac-6e9f1c4a5a49},4127
1303001,Fall River Spring,Spring,45800,TN,Lawrence,7,{f0e8c51b-e884-47fd-b937-4bc8f11515ba},4128
1303110,Hampton Spring,Spring,45800,TN,Carter,7,{19503761-477e-42f6-aa38-7db4d6430c8e},4129
1303128,Pierce Spring,Spring,45800,TN,Carter,7,{e284d4d7-f511-4023-a4a6-bede192b2c65},4130
1303148,Beech Spring,Spring,45800,TN,Washington,7,{47fcdb78-d88e-4044-a6a2-167857251aa3},4131
1303155,Chalybeate Spring,Spring,45800,TN,Washington,7,{ce1f8288-bea3-430b-921e-2a85d9d77f08},4132
1303156,Chalybeate Spring,Spring,45800,TN,Washington,7,{47f3b1ad-6c7b-464a-a4e6-81ded9ce3be5},4133
1303168,Gathel Spring,Spring,45800,TN,Washington,7,{9a7d4bc0-92f8-44f5-ae19-15dc652639da},4134
1303183,Martin Spring,Spring,45800,TN,Washington,7,{abbc2546-0c39-4f57-b63a-de76b01c371c},4135
1303191,Muddy Spring,Spring,45800,TN,Washington,7,{11b7e7a0-439c-4f1b-b6e6-c7da4a380599},4136
1303204,Wheelock Spring,Spring,45800,TN,Washington,7,{30847da1-483f-46cf-9a95-ad7c8ed4c7d7},4137
1303420,Baugus Spring,Spring,45800,TN,Hardin,7,{111863bf-60f3-4c92-aeaa-ffeba72601d3},4138
1303572,Shetterly Spring,Spring,45800,TN,Anderson,7,{95ac0a04-3f26-40e6-8d54-aa8275ff292e},4139
1303608,Short Creek Spring,Spring,45800,TN,McMinn,7,{fa73704a-f55e-4b7d-9ff5-04d49763d392},4140
1303633,Simpson Spring,Spring,45800,TN,McMinn,7,{03f3aa50-80aa-4a46-ad78-46d53d7778f8},4141
1303793,Standingstone Lake,Reservoir,39004,TN,Overton,7,{bda7c075-8eb0-4dcd-b4ab-367f0a2b3445},4142
1303818,Steele Spring,Spring,45800,TN,Sullivan,7,{3bcf8484-bb5f-4296-ade7-a51e40f7148e},4143
1303913,Sugartree Spring,Spring,45800,TN,Franklin,7,{9d2beac4-2e67-4ebc-bcf0-ab7daf9c8a62},4144
1303921,Sulphur Spring,Spring,45800,TN,Maury,7,{120ad9d0-f59e-4061-875b-518af358b49f},4145
1303922,Sulphur Spring,Spring,45800,TN,Washington,7,{86671196-0355-4bf3-aaf6-040a4b796a41},4146
1304036,Tellico Lake,Reservoir,39004,TN,Monroe,7,{e244b562-190e-47e0-ab2d-df44b56dfcf8},4147
1304056,The Falls,Falls,48700,TN,Scott,7,{53013f1b-64ba-41cb-8dbf-aacf3904aefe},4148
1304062,The Suck,Rapids,43100,TN,Marion,7,{601f1cbb-9f3b-4dc1-a598-e1490d634cfa},4149
1304062,The Suck,Rapids,43100,TN,Hamilton,7,{3fc6acb2-2dd3-4d3e-814c-80e68e228288},4150
1304074,Thomas Spring,Spring,45800,TN,Maury,7,{83ca834c-984f-43ea-afb9-ab0938ee40af},4151
1304084,Thompson Lake,Reservoir,39004,TN,Williamson,7,{af01e20c-5f79-401c-b285-64608719bccc},4152
1304276,Upland Lake,Reservoir,39004,TN,Cumberland,7,{887005da-0afb-46b2-ab6e-ab412dee2956},4153
1304375,Ward Spring,Spring,45800,TN,Rhea,7,{b2fd4f22-d4c8-4fd2-8dd6-5da6081d9a84},4154
1304516,Whitaker Spring,Spring,45800,TN,Greene,7,{4c8a07f3-f0a9-4ad3-b80a-9ba6ef1ced00},4155
1304516,Whitaker Spring,Spring,45800,TN,Washington,7,{192735ed-33e0-4ed0-a2a4-b3ba9e2df5d8},4156
1304584,Wildcat Spring,Spring,45800,TN,Marion,7,{28055245-d181-4a1a-817a-0358b8473846},4157
