place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes,Place_Name,County,place_lat,place_lon,gaz_id,gnis_lat,gnis_lon,distance_miles
124,Almira,Tipton,,1903.0,30289.0,1276249.0,Balmoral,Hamilton,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 71.42857142857143), different county",Almira,Tipton,35.4945,-89.7972,1276249,35.1245,-85.2972,255.0012688172306
127,Aloha,Shelby,,1894.0,28056.0,1314259.0,Alpha,Hamblen,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 80.0), different county",Aloha,Shelby,35.1345,-89.9372,1314259,36.2145,-83.2972,380.0236046556267
127,Aloha,Shelby,,1894.0,30491.0,1304784.0,Alcoa,Blount,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 80.0), different county",Aloha,Shelby,35.1345,-89.9372,1304784,35.6856,-83.9207,340.9051327997942
127,Aloha,Shelby,,1894.0,33190.0,1311938.0,Lohman,Sumner,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county",Aloha,Shelby,35.1345,-89.9372,1311938,36.4645,-86.4672,215.0707111552082
140,Altons,Benton,1837.0,,648.0,1313499.0,Walton (historical),Davidson,Populated Place,73.33333333333334,FUZZY_GENERAL,"Fuzzy match (score: 83.33333333333334), different county",Altons,Benton,36.0773,-88.0589,1313499,36.1667,-86.7844,71.40278249594857
140,Altons,Benton,1837.0,,30537.0,1275624.0,Allons,Overton,Populated Place,73.33333333333334,FUZZY_GENERAL,"Fuzzy match (score: 83.33333333333334), different county",Altons,Benton,36.0773,-88.0589,1275624,36.3345,-85.2972,154.9947550678175
145,Alva,Loudon,,1901.0,1032.0,1640776.0,Elva (historical),Scott,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county",Alva,Loudon,35.7345,-84.3372,1640776,36.4745,-84.5872,53.00270372910583
145,Alva,Loudon,,1901.0,33028.0,1647225.0,Calvary,Dyer,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county",Alva,Loudon,35.7345,-84.3372,1647225,36.0745,-89.3972,284.14197034333586
147,Alvis,Hawkins,,1903.0,27821.0,1314933.0,Davis,Loudon,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 80.0), different county",Alvis,Hawkins,36.4345,-82.9472,1314933,35.7345,-84.3372,91.45457310012382
147,Alvis,Hawkins,,1903.0,29664.0,1313494.0,Travis,Davidson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county",Alvis,Hawkins,36.4345,-82.9472,1313494,36.1667,-86.7844,214.468449459049
148,Amanda,White,1881.0,1904.0,801.0,1310298.0,Miranda (historical),Overton,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county",Amanda,White,35.9245,-85.4672,1310298,36.3345,-85.2972,29.87644971995557
148,Amanda,White,1881.0,1904.0,29745.0,1314598.0,Arminda,Knox,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county",Amanda,White,35.9245,-85.4672,1314598,36.0045,-83.9372,85.74467434049083
154,Ames Plantation,Fayette,,,34175.0,1297779.0,Plantation Hills,Knox,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 77.41935483870968), different county",Ames Plantation,Fayette,35.2145,-89.4472,1297779,36.0045,-83.9372,314.2636922716974
154,Ames Plantation,Fayette,,,28764.0,1312934.0,Carnton Plantation,Williamson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county",Ames Plantation,Fayette,35.2145,-89.4472,1312934,35.8745,-86.8672,152.04752724183507
